🕘️更新时间,#genre#
2026-04-08 18:41:57,http://1.194.245.166:9003/hls/1/index.m3u8

📺央视频道,#genre#
CCTV-1,http://1.194.245.166:9003/hls/1/index.m3u8
CCTV-2,http://222.89.32.155:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://222.89.32.155:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://1.194.245.166:9003/hls/3/index.m3u8
CCTV-5,http://222.89.32.155:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://222.89.32.155:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://1.194.245.166:9003/hls/5/index.m3u8
CCTV-7,http://222.89.32.155:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://222.89.32.155:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://222.89.32.155:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://222.89.32.155:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://222.89.32.155:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://1.194.245.166:9003/hls/11/index.m3u8
CCTV-13,http://222.89.32.155:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://222.89.32.155:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://222.89.32.155:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://222.89.32.155:85/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://222.89.32.155:85/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
CHC高清电影,http://42.227.89.129:9003/hls/59/index.m3u8
CHC家庭影院,http://42.227.89.129:9003/hls/61/index.m3u8

📡卫视频道,#genre#
广东卫视,http://222.89.32.155:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://222.89.32.155:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://222.89.32.155:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://222.89.32.155:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://222.89.32.155:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://222.89.32.155:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://222.89.32.155:85/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://1.194.245.166:9003/hls/33/index.m3u8
东方卫视,http://1.194.245.166:9003/hls/43/index.m3u8
东南卫视,http://222.89.32.155:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://1.194.245.166:9003/hls/61/index.m3u8
广西卫视,http://222.89.32.155:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://222.89.32.155:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://124.93.18.239:9003/hls/43/index.m3u8
河北卫视,http://222.89.32.155:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://222.89.32.155:85/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://222.89.32.155:85/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://222.89.32.155:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://1.194.245.166:9003/hls/26/index.m3u8
辽宁卫视,http://1.194.245.166:9003/hls/23/index.m3u8
内蒙古卫视,http://222.89.32.155:85/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://222.89.32.155:85/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://222.89.32.155:85/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://171.43.64.40:9901/tsfile/live/faacts/0131_2.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://222.89.32.155:85/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://1.194.245.166:9003/hls/24/index.m3u8
四川卫视,http://1.194.245.166:9003/hls/29/index.m3u8
深圳卫视,http://222.89.32.155:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://222.89.32.155:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://222.89.32.155:85/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://1.194.245.166:9003/hls/62/index.m3u8
云南卫视,http://1.194.245.166:9003/hls/32/index.m3u8
